published_at,description
2016-07-18,"등운동 해보자(가슴 & 등 운동) 여름방학 ep11데드리프트 스트렝스 훈련과 
벤치프레스 스트렝스 훈련을 담았습니다.
2일에 걸친 영상, 좋아요 & 구독 꼭!

노래 : stephen - remembering myself"
2016-07-19,"하체운동 루틴(어깨) 여름방학 ep 12하체운동과 어깨운동 루틴 함께!
스트렝스 강화 훈련 루틴입니다!
좋아요 & 구독하기!"
2016-07-20,"초간단 가슴운동(스트렝스 강화) 여름방학 ep13스트렝스 강화하는 초간단 가슴운동 루틴!
시간 없을 때 따라할 수 있는 초,중급자를 위한 루틴!

좋아요 & 구독! 그리고 댓글 남겨주세요
kw lee"
2016-07-21,"쉬울 리가 없지...(등운동 루틴) 여름방학 ep 14데드리프트 1rm 도전!
그리고 등운동 루틴

좋아요 & 구독은 큰 힘이 됩니다!"
2016-07-22,"스쿼트 강화 루틴!(어깨포함) 여름방학 ep 15스쿼트 밀리터리프레스 강화 루틴 입니다 ㅎㅎ
득근하세요!
좋아요 & 구독 그리고 댓글까지!"
2016-07-23,"비포애프터 5개월 후, 10kg 감량식단 조절 없는 다이어트자극! 전후공개
5개월 몸 상태 변화! 다이어트 비법은 채널에 있습니다!
83kg~73kg 까지
체지방은 감량하였고 근육량은 거의 그대로 유지하였습니다.
남자 헬스 몸 변화
 -  리프팅

스쿼트, 데드리프트, 벤치프레스를 주 운동으로 하여 진행하였습니다 / 3대운동 위주
그리고 현재는 파워리프팅을 즐겨 하고 있습니다.(스트렝스 프로그램)
5kg빼는법, 10kg 감량"
2016-07-24,"하루에 모든 운동을!(벤치, 스쾃, 풀) 여름방학 ep 16주말을 이용해 하루에 모든 운동을!
강도는 약하게 대신 전체적으로!!!"
2016-07-26,"몸상태 업데이트! 번외편영상편집이 늦어지고 있습니다!ㅜㅜ
7월27일 저녁까지 하체어깨 루틴과 등허리 루틴
함께 올릴게요!!"
2016-07-27,"하체를 강하게(어깨 포함) 여름방학 ep 17하체와 어깨 스트렝스 강화 훈련 입니다!
무게는 자신에게 맞게 선택해서
따라하시면 됩니다!
 운동은 간단할수록, 더 큰 효과를 내기 마련입니다 ㅎㅎ"
2016-07-28,"등짝 넓히기!(데드리프트 위주) 여름방학 ep 18등짝을 넓히는 운동 루틴! 
벌써 여름방학 ep18입니다 ㅎㅎ 조금더 모두 화이팅해요"
2016-07-29,"3대 운동이란?! (하체, 어깨운동 루틴) 몸 변화를 위하여 여름방학 ep19몸 변화를 위한 3대 운동 훈련법에 대한 개괄, 그리고 하체어깨 운동 루틴에 대하여!
스트렝스 강화 3대중량을 함께 훈련해요, 스쿼트, 벤치프레스, 데드리프트(컨벤셔널, 스모), 고중량
여름방학 ep19"
2016-07-30,"주짓수 도전기, 서두원 선수(가슴운동 루틴) 여름방학 ep.20주짓수 도전 영상입니다 ㅎㅎㅎ 실패로 끝이 났지만!
좋은 경험이었어요. 운동루틴은 가슴운동 올렸어요!"
2016-08-03,"가슴 커지는 법(벤치프레스 방법) 여름방학 ep 21스트렝스 위주의 훈련에서 자극 위주의 훈련으로
1달간 변화를 주려 합니다! 가끔의 변화는 오히려 몸의 발전을 이끄는 것 같아요 ㅎㅎㅎ

벤치프레스 자극 훈련(가슴운동방법, 가슴키우기)! 딥스, 케이블 훈련 포함
저는 3대운동 위주로 합니다!"
