published_at,description
2016-12-21,"새로운 시작(데드리프트, 대학생활, 파티, 일상, 브이로그) 겨울방학 ep 01겨울방학 ep01 '새로운 시작'입니다(일상영상을 더 많이 담아보려고 노력중...입니다 ^^)
영상 편집프로그램을 바꿨어요!(다만... 너무 어려운 관계로 아직은 윈도우 무비메이커와 혼용하고 있습니다 ㅎㅎ)
유도부 종강파티를 즐겼고, 술도 많이 마셨네요.
다음날은 운동을 하긴 했는데... 짧게 했어요 저녁에! 
술 먹고 다음날은 좋지 않잖아요... ㅎㅎ

모두 감기 조심하시고, 얼마 남지 않은 12월 보람차게
보내시길 바랍니다!

 -  (kw lee)"
2016-12-19,"겨울방학 시작(스쿼트, 어깨운동, 일상, 브이로그) 복학생 ep마지막겨울방학이 시작되었습니다! 복학생 에피소드도 이제 끝이네요 ㅎㅎ
다음 영상부터는 겨울방학 에피소드로 찾아올게요
오늘 운동은 스쿼트랑 프레스(어깨운동) 위주로 진행했고 항상 하던대로 간단한 루틴으로 강력하게! 했어요 
3대운동 위주로 하는 훈련이 얼마나 중요한지는 이제는 모두 아실거라 믿고!! 
오늘도 화이팅입니다!
-  "
2016-12-15,"미용실 두피스켈프(대학생활, 일상, 데드리프트) 복학생 ep 52대학생활을 열심히 담아보려고 노력해봤어요 ㅎㅎ
물론 운동 채널이니 운동은 꼭 넣습니다!
오늘은 시험 끝나고 미용실에서 머리를 잘랐어요. 시험기간에는 특히나 스트레스를 많이 받아서 머리 자르고 나면 기분이 나아지더라구요ㅎㅎ
운동은 데드리프트 위주의 가벼운 등운동을 진행했습니다

날이 아주 많이 추운데 감기 조심하시고, 운동 화이팅하세요!
  kw1000lbs"
2016-12-12,"강력한 가슴, 어깨 운동(3대운동, 벤치프레스, 대학생활, 일상영상) 복학생 ep513대운동 중 하나인 벤치프레스 루틴을 다뤘습니다 ㅎㅎ
그리고 일상 영상 조금과 함께 밀리터리 프레스 기록 도전도 해봤어요
재밌게 봐주셨으면 좋겠습니다 ㅎㅎ 구독 좋아요도 눌러주시구요!"
2016-12-10,"보내주신 선물(나구, 등 운동, 데드리프트, 대학생활, 브이로그) 복학생 ep50구독자분께서 선물을 보내주셨어요!
나구님 정말 감사합니다 ㅎㅎㅎ 잘 쓸게요!
오늘은 등운동하는 날입니다! 고중량 데드리프트를 했고
데드리프트 팁도 함께 담았습니다! ㅎㅎ 아! 그리고 펜들레이 로우라는 동작도 추가해봤어요
항상 3대운동 위주로 훈련계획해서 강하고 멋진 몸 만드시길 바랍니다!
 - "
2016-12-09,"스모데드리프트 하는법(how to sumodeadlifts) by 스모데드리프트 하는 방법에 대한 영상입니다
완전히 옳은 영상을 만들기는 항상 어렵습니다... 
지금 하고 계신 동작에 필요한 부분만 참고해주시면 감사드려요!
3대운동, 데드리프트"
2016-12-07,"맥도날드 먹방(벤치프레스 꿀팁, 가슴운동 루틴, 대학생활 , 브이로그) 복학생 ep 49더블불고기세트 먹방! 입니다 ㅋㅋ 그리고 벤치프레스 팁을 담았어요
이미 '벤치프레스 하는법' 이란 영상을 보신 분들은 다 아시는 내용이지만 혹시나.... 아직 못보신 분들을 위해 한번 담아봤습니다!
그리고 가슴운동 루틴도 함께 참고해주세요!
3대운동 중 하나인 벤치프레스 위주의 훈련은 언제나 옳습니다!
항상 큰운동들 위주로 수행하시고 즐겁게! 부상 없이! 훈련하시길 바랍니다
 - (kw lee)"
2016-12-05," 생일파티(스쿼트, 프레스, 가족식사, 브이로그) 복학생 ep4812월 5일! 생일이었습니다! ㅎㅎㅎ 
생일이 지나기 전에 영상을 올리는 것보다는
생일 하루가 다 끝나고, 정리해서 올리는 게 더 나을 것 같아서
조금 늦게 올리게 되었네요 ㅠㅠ!!
운동영상은 스쿼트와 오버헤드 프레스 위주로 진행했고
4일 간의 브이로그여서 그런지... 꽤많은 음식이 등장합니다!! ㅋㅋㅋ
무튼.. 긴 영상 시청해주셔서 정말 감사드리고
구독! 좋아요! 꼭 눌러주세요 ㅎㅎ

 - (kw lee)"
2016-12-02," 시작(등허리 운동, 대학일기, 일상, 브이로그) 복학생 ep47를 해보라고 권해주었던 친구와 식사를 가졌습니다! ㅎㅎ  그리고 대학일기처럼 풍부한 대학생활에 대해 담아보려고 노력했어요.  오랜만에 스모 데드리프트가 아닌 컨벤셔널 데드리프트로 140kg 5x5 훈련을 진행했네요! 확실히 저는 스모데드가 편하긴 한가 봅니다.... 마지막 세트는 스모로 진행했어요 ㅎㅎ
항상 3대운동 위주로 진행해주시고, 부상 조심하세요!
좋아요 & 구독 꼭 눌러주시고 댓글 까지! 남겨주시면 감사해요 ㅎㅎ
 - (kw lee)"
2016-11-30,"대학생활, 기말고사(가슴운동 루틴, 벤치프레스, 대학생, 브이로그) 복학생ep47이제 곧 기말고사네요!! 아침운동으로 다시 바꿨습니다 ㅎㅎㅎ
오늘 운동은 제가 진행하는 3대 운동 중 가장 약한..... 벤치프레스 위주의 가슴운동이었습니다! ㅎㅎㅎ 초보자분들도 따라하기 쉬운 루틴이니,  가슴운동할 때 꼭 참고해 보세요! :d"
